air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,1,0,1,33464641,apartment,90,0,2,0,1,1,valencia,1,0,0,0
0,0,1,0,0,0,82757506,house,110,0,3,0,0,1,sevilla,0,1,0,0
0,0,3,1,0,0,83756531,house,660,0,3,1,0,1,sevilla,0,1,0,0
0,0,2,0,0,0,36681065,apartment,148,0,4,0,0,1,alicante,1,0,0,0
0,0,1,0,0,0,84927783,apartment,52,0,2,0,0,1,girona,1,0,0,0
1,0,4,0,0,0,83759354,apartment,136,0,4,0,0,1,girona,1,0,0,0
1,0,1,0,0,1,84360931,apartment,57,1,1,0,0,0,madrid,1,0,0,0
0,0,3,1,0,1,84928032,house,214,0,3,0,1,1,alicante,0,1,0,0
0,0,1,1,0,1,84289653,apartment,72,0,2,0,0,0,madrid,1,0,0,0
1,1,1,1,0,0,84191663,house,85,0,2,0,0,1,girona,0,1,0,0
0,0,2,1,0,1,84559523,apartment,73,0,2,1,1,1,girona,1,0,0,0
1,0,4,1,0,1,30953720,house,1098,0,4,1,1,1,valencia,0,1,0,0
1,0,1,0,1,1,32433037,rural_property,1000,0,1,1,1,0,sevilla,0,0,0,1
1,0,4,1,0,1,28407473,house,2400,0,5,1,1,1,valencia,0,1,0,0
0,0,3,0,0,0,39925749,house,70,0,6,0,0,0,sevilla,0,1,0,0
0,0,1,1,0,0,84655737,apartment,77,0,2,1,1,0,madrid,1,0,0,0
0,0,2,1,0,0,37392274,apartment,115,0,3,0,1,0,alicante,1,0,0,0
0,0,2,0,0,1,33951038,house,3602,0,3,1,1,1,valencia,0,1,0,0
1,0,1,1,0,0,84120136,apartment,70,0,3,0,0,0,madrid,1,0,0,0
0,0,2,1,0,0,83708684,apartment,125,0,4,0,0,0,valencia,1,0,0,0
0,0,2,0,0,1,85024119,house,575,0,5,0,0,0,girona,0,1,0,0
1,0,2,1,0,0,28556621,apartment,180,0,4,1,0,1,valencia,1,0,0,0
0,0,2,0,0,0,84505053,apartment,154,0,3,0,0,0,alicante,1,0,0,0
0,1,3,1,0,1,83303225,house,3000,0,5,1,1,1,valencia,0,1,0,0
0,0,1,1,0,1,84646980,apartment,38,0,1,0,0,1,girona,1,0,0,0
1,0,2,1,0,1,25943430,apartment,130,0,4,1,1,1,sevilla,1,0,0,0
0,1,2,1,1,0,34410706,house,180,0,4,1,0,1,alicante,0,1,0,0
0,0,3,1,1,1,40128130,rural_property,150000,0,5,1,1,0,sevilla,0,0,0,1
0,0,1,0,0,0,84923798,apartment,60,0,3,0,0,0,madrid,1,0,0,0
1,0,4,1,0,0,83633397,house,221,0,5,0,0,1,valencia,0,1,0,0
1,0,2,0,0,1,39501726,house,436,0,4,1,0,0,girona,0,1,0,0
0,1,3,1,0,1,82074728,house,50,0,4,1,0,1,girona,0,1,0,0
0,0,2,1,0,0,38673734,house,101,0,3,0,0,1,girona,0,1,0,0
0,0,2,0,0,0,83180625,house,1100,0,3,0,1,0,alicante,0,1,0,0
0,1,1,0,0,0,83132433,apartment,92,0,4,1,0,0,valencia,1,0,0,0
1,1,2,1,0,1,82345424,house,900,0,4,1,1,1,alicante,0,1,0,0
0,0,1,0,0,0,84827456,apartment,83,0,2,0,0,0,madrid,1,0,0,0
0,1,2,0,0,0,39111956,apartment,150,0,4,0,0,0,valencia,1,0,0,0
1,0,3,0,0,0,30849557,house,132,0,4,1,0,0,madrid,0,1,0,0
1,0,2,1,0,1,26038012,apartment,160,0,4,0,0,1,valencia,1,0,0,0
0,0,1,0,0,0,84652202,apartment,40,0,2,0,0,0,girona,1,0,0,0
1,0,2,1,0,1,84867237,apartment,123,1,3,1,1,0,madrid,1,0,0,0
0,0,2,0,0,0,40193094,apartment,128,0,3,0,0,0,alicante,1,0,0,0
0,0,1,1,0,1,1983903,apartment,75,0,2,1,0,1,girona,1,0,0,0
0,0,2,1,0,0,38519296,apartment,80,0,2,0,1,0,girona,1,0,0,0
0,0,2,0,0,1,84886598,apartment,105,0,3,0,1,1,madrid,1,0,0,0
0,0,2,1,0,0,84267851,apartment,120,0,4,0,0,1,valencia,1,0,0,0
1,1,2,1,0,0,40496414,apartment,116,0,4,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,82813121,apartment,50,0,1,0,1,0,girona,1,0,0,0
0,0,2,0,0,0,82060476,apartment,89,0,3,0,0,0,sevilla,1,0,0,0
0,0,1,0,0,0,83428365,house,56,0,2,0,1,1,girona,0,1,0,0
1,0,2,1,0,1,84729126,apartment,104,0,3,0,1,0,madrid,1,0,0,0
0,0,2,0,0,0,84183599,house,120,0,3,0,0,0,sevilla,0,1,0,0
1,0,1,1,0,1,37500982,house,800,0,3,1,0,1,sevilla,0,1,0,0
0,0,2,0,1,0,81264226,house,130,0,3,1,0,1,sevilla,0,1,0,0
1,0,4,1,0,0,36320339,house,190,0,4,0,1,1,sevilla,0,1,0,0
0,0,2,0,0,0,36922016,apartment,100,0,3,1,0,0,sevilla,1,0,0,0
0,0,4,1,0,1,39263100,house,1950,0,6,1,1,1,sevilla,0,1,0,0
0,0,2,0,0,1,83486752,apartment,103,0,4,0,1,0,madrid,1,0,0,0
0,1,1,1,0,0,84471368,apartment,83,0,3,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,39363362,house,100,1,2,0,0,0,alicante,0,1,0,0
1,0,1,1,0,0,83253093,apartment,52,0,3,0,0,1,madrid,1,0,0,0
1,0,3,1,0,1,84575002,house,127,0,3,0,0,1,sevilla,0,1,0,0
0,0,1,0,0,0,84952101,house,1001,0,3,1,0,1,valencia,0,1,0,0
0,0,3,0,0,0,82957666,house,178,0,3,1,0,1,sevilla,0,1,0,0
0,0,2,0,0,0,81741271,apartment,152,0,3,0,0,0,alicante,1,0,0,0
1,0,2,1,0,0,84778801,apartment,113,0,2,0,0,0,alicante,1,0,0,0
0,0,3,0,0,1,82523687,house,221,0,6,0,0,1,alicante,0,1,0,0
0,0,2,1,0,0,84572357,apartment,127,0,3,0,0,1,madrid,1,0,0,0
1,1,1,1,0,0,38519747,apartment,67,0,2,0,1,1,girona,1,0,0,0
0,1,1,1,0,0,27261506,apartment,80,0,3,0,0,1,valencia,1,0,0,0
0,0,0,0,0,0,82637750,house,63,0,1,0,0,0,sevilla,0,1,0,0
0,0,6,1,0,0,82669700,house,490,0,5,1,0,1,madrid,0,1,0,0
1,1,2,1,0,0,38841251,apartment,115,1,3,0,0,0,valencia,1,0,0,0
0,0,1,1,0,0,82479350,apartment,56,1,1,0,0,0,madrid,1,0,0,0
1,1,2,1,0,0,82423249,apartment,110,1,3,0,0,0,valencia,1,0,0,0
1,0,3,0,0,0,84579327,house,120,0,3,0,1,0,alicante,0,1,0,0
0,0,1,0,0,1,32534761,apartment,73,0,2,0,0,0,sevilla,1,0,0,0
0,0,2,1,0,1,84796329,apartment,79,0,3,1,1,1,madrid,1,0,0,0
1,0,3,1,0,1,29453954,house,400,0,3,0,1,1,alicante,0,1,0,0
0,0,2,0,0,0,33012821,apartment,90,0,3,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84230914,house,80,0,2,0,0,0,sevilla,0,1,0,0
0,1,1,0,0,0,84102788,apartment,38,0,1,0,0,0,girona,1,0,0,0
0,0,1,0,0,0,83735809,apartment,65,0,3,0,0,0,madrid,1,0,0,0
1,0,1,1,0,0,85003021,apartment,60,0,1,0,0,0,madrid,1,0,0,0
0,0,2,0,0,0,81741260,apartment,154,0,3,0,0,0,alicante,1,0,0,0
1,1,2,1,0,0,84149927,apartment,105,0,3,0,0,1,valencia,1,0,0,0
0,0,1,0,0,0,84789049,apartment,288,0,10,1,0,0,girona,1,0,0,0
0,1,1,0,0,0,39599850,apartment,90,0,3,0,0,0,valencia,1,0,0,0
1,0,2,1,1,0,37904237,house,200,0,3,1,0,1,girona,0,1,0,0
0,0,1,0,0,0,39537005,apartment,120,0,3,0,0,1,valencia,1,0,0,0
0,0,1,0,0,0,81449175,house,51,0,5,0,0,1,alicante,0,1,0,0
0,0,5,0,0,1,37690350,house,4000,0,7,0,1,1,sevilla,0,1,0,0
0,0,1,0,0,0,40316410,apartment,45,0,2,0,1,0,girona,1,0,0,0
0,0,1,0,0,0,2103439,apartment,54,0,2,0,0,1,girona,1,0,0,0
0,0,1,0,0,0,83455626,apartment,84,0,3,0,0,1,madrid,1,0,0,0
0,0,2,1,0,0,84362156,apartment,157,1,4,0,0,0,valencia,1,0,0,0
0,0,1,1,0,0,84973311,apartment,70,0,3,0,0,1,madrid,1,0,0,0
0,0,3,0,0,0,84795788,house,280,0,3,1,0,1,alicante,0,1,0,0
1,1,1,1,0,0,83348235,apartment,60,0,2,0,0,0,sevilla,1,0,0,0
0,0,2,1,0,1,84776251,apartment,128,1,5,1,0,1,madrid,1,0,0,0
1,0,4,1,0,1,34340598,house,1006,0,7,1,1,1,sevilla,0,1,0,0
0,1,3,1,0,1,84234312,house,197,0,4,0,0,1,sevilla,0,1,0,0
1,0,1,1,0,1,38657520,apartment,68,0,1,1,1,1,madrid,1,0,0,0
0,0,1,1,0,1,82011785,house,1900,0,3,1,1,0,alicante,0,1,0,0
0,0,1,0,0,0,28456182,apartment,80,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,1,82788503,apartment,109,0,3,1,1,0,madrid,1,0,0,0
1,0,1,0,0,1,81808351,apartment,49,1,1,1,1,1,girona,1,0,0,0
0,0,1,0,0,1,83573003,apartment,89,0,0,0,1,1,girona,1,0,0,0
0,0,1,1,0,0,30753675,house,120,0,3,0,0,1,sevilla,0,1,0,0
0,0,2,0,0,0,27576852,house,120,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,83713311,apartment,102,0,3,0,0,0,sevilla,1,0,0,0
0,0,2,0,0,0,84903328,apartment,141,0,4,0,0,0,alicante,1,0,0,0
1,0,2,1,0,1,82308244,apartment,98,1,3,0,1,1,sevilla,1,0,0,0
0,0,1,0,0,1,82567645,apartment,60,0,2,1,1,0,girona,1,0,0,0
1,0,4,0,0,1,37661228,house,240,0,4,1,0,0,alicante,0,1,0,0
1,0,1,0,0,0,31719333,house,111,0,3,1,0,0,sevilla,0,1,0,0
0,0,1,0,0,0,38470633,apartment,100,0,0,0,0,0,girona,1,0,0,0
0,0,1,0,0,0,84908859,apartment,67,0,3,0,0,0,madrid,1,0,0,0
1,1,1,0,0,0,84943610,apartment,100,0,3,0,0,1,valencia,1,0,0,0
0,0,3,1,0,1,83609734,house,780,0,4,1,1,1,alicante,0,1,0,0
0,1,1,1,0,1,84669231,apartment,73,0,3,0,0,1,madrid,1,0,0,0
