air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
1,0,3,1,0,1,84515051,house,4600,305000,0,5,1,1,1,alicante,0,1,0,0
1,0,2,1,0,0,81456076,house,137,144000,0,2,1,0,1,alicante,0,1,0,0
0,0,1,0,0,0,81547993,apartment,101,68000,0,3,1,0,1,alicante,1,0,0,0
0,0,1,0,0,0,82294451,apartment,48,120000,0,1,1,0,1,alicante,1,0,0,0
0,0,1,0,0,0,81806893,house,60,100000,0,2,0,0,0,alicante,0,1,0,0
0,0,2,1,0,1,82039750,apartment,120,52000,0,4,1,1,1,alicante,1,0,0,0
0,0,2,0,0,0,37262346,apartment,62,80000,0,3,0,0,0,alicante,1,0,0,0
0,1,2,0,0,0,37262306,apartment,90,85000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,30035774,house,121,115000,0,5,0,1,0,alicante,0,1,0,0
0,0,1,0,0,0,37263956,house,200,80000,0,4,1,0,1,alicante,0,1,0,0
0,0,4,0,0,0,37566131,house,450,230000,0,4,0,0,0,alicante,0,1,0,0
1,1,1,0,0,0,82031795,apartment,100,59000,0,5,0,0,0,alicante,1,0,0,0
1,1,2,1,0,0,435914,apartment,143,60000,0,4,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,27576852,house,120,126000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,37265655,apartment,135,80000,0,4,1,0,1,alicante,1,0,0,0
0,0,2,0,0,0,37265882,apartment,90,120000,0,3,1,0,1,alicante,1,0,0,0
1,0,1,0,0,0,37873483,apartment,84,41900,0,3,1,0,0,alicante,1,0,0,0
0,1,2,1,0,0,39351191,apartment,160,100000,1,6,1,0,1,alicante,1,0,0,0
0,0,3,0,0,1,27096706,house,14000,250000,1,7,1,1,0,alicante,0,1,0,0
0,0,1,0,0,0,82459968,rural_property,7500,170000,0,3,0,0,0,alicante,0,0,0,1
0,0,1,0,0,0,82605567,apartment,90,115000,0,2,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,26991754,house,70,63000,0,4,0,0,1,alicante,0,1,0,0
0,0,3,1,0,0,28474804,house,1054,250000,0,4,1,1,1,alicante,0,1,0,0
1,0,1,0,0,0,31758227,apartment,80,55000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,1,0,1,2082254,house,7000,94000,0,2,1,1,1,alicante,0,1,0,0
0,1,3,1,1,1,35665748,rural_property,2714,190000,0,7,1,1,1,alicante,0,0,0,1
0,0,1,0,0,0,36003775,rural_property,2500,149000,0,3,1,0,0,alicante,0,0,0,1
1,0,4,1,0,0,36090999,house,650,330000,0,4,0,1,1,alicante,0,1,0,0
0,0,2,1,0,0,36631107,apartment,136,39000,0,4,1,0,1,alicante,1,0,0,0
0,0,1,1,0,0,28165343,house,98,75000,0,3,1,0,1,alicante,0,1,0,0
0,0,2,1,0,0,38902559,apartment,136,118000,0,4,1,0,0,alicante,1,0,0,0
0,1,1,0,0,0,81176049,apartment,90,45000,0,3,0,0,0,alicante,1,0,0,0
0,1,2,0,0,0,81202085,apartment,90,60000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81443688,apartment,90,52000,0,3,0,0,1,alicante,1,0,0,0
0,0,1,0,0,0,82369264,house,172,70000,0,3,0,0,0,alicante,0,1,0,0
0,1,3,1,1,0,82372495,house,160,100000,0,3,0,0,1,alicante,0,1,0,0
0,0,2,0,0,0,433944,apartment,130,36000,0,4,0,0,0,alicante,1,0,0,0
1,0,2,1,0,0,28323763,apartment,100,139000,0,3,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,32461580,apartment,260,115000,0,4,1,0,1,alicante,1,0,0,0
0,0,2,1,0,1,1764763,house,590,200000,0,5,1,1,1,alicante,0,1,0,0
1,0,2,0,0,0,37133863,apartment,113,142000,0,4,1,0,0,alicante,1,0,0,0
1,0,2,0,0,0,38092451,apartment,113,142000,0,4,1,0,0,alicante,1,0,0,0
1,0,2,0,0,0,374176,house,147,165000,0,3,1,0,1,alicante,0,1,0,0
1,0,2,0,0,0,37126013,apartment,113,139000,0,4,1,0,0,alicante,1,0,0,0
0,0,2,1,0,1,1634435,house,3800,250000,0,6,1,1,1,alicante,0,1,0,0
0,0,1,1,0,0,1676815,apartment,73,115500,0,2,0,0,1,alicante,1,0,0,0
0,0,1,1,0,0,35136730,house,85,100000,0,3,1,0,0,alicante,0,1,0,0
1,0,1,0,0,1,37702552,house,160,168000,0,3,1,1,0,alicante,0,1,0,0
1,0,1,1,0,0,82135875,apartment,140,65000,0,3,1,0,1,alicante,1,0,0,0
0,0,2,1,0,0,26091116,house,40000,295000,0,4,1,1,1,alicante,0,1,0,0
0,0,1,1,0,0,1784539,house,160,75000,0,3,0,0,1,alicante,0,1,0,0
1,1,2,1,0,0,34028074,apartment,110,83000,0,4,1,0,1,alicante,1,0,0,0
0,1,2,1,0,0,82772551,apartment,90,115000,0,0,0,0,0,alicante,1,0,0,0
1,1,2,1,0,1,28392693,apartment,108,139000,1,4,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,39385967,house,15000,390000,0,3,0,0,0,alicante,0,1,0,0
0,1,2,0,0,0,82670952,apartment,130,42000,0,3,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,82975502,apartment,95,90000,0,4,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83169207,house,3000,170000,0,4,0,1,0,alicante,0,1,0,0
0,0,2,0,0,0,83169249,house,180,130000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,83211050,apartment,132,95000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83346317,apartment,65,36000,0,3,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,83860134,house,2500,140000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84248648,house,300,50000,0,5,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84422462,apartment,85,28000,0,3,1,0,1,alicante,1,0,0,0
0,0,2,0,0,0,84443466,house,140,159000,0,3,0,0,1,alicante,0,1,0,0
0,0,3,0,0,0,81693745,house,151,88200,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,28457227,house,60,120000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,1,443045,house,165,75000,0,4,0,1,0,alicante,0,1,0,0
0,1,2,0,0,0,83637126,apartment,120,120000,0,4,1,0,0,alicante,1,0,0,0
1,1,2,0,0,0,83957350,apartment,90,90000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84204628,rural_property,7000,135000,0,4,0,0,0,alicante,0,0,0,1
0,0,2,0,0,0,84704770,apartment,175,90000,0,5,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,39888471,apartment,102,75400,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84309141,apartment,79,27148,0,1,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84618847,rural_property,30000,140000,0,1,0,0,0,alicante,0,0,0,1
0,0,2,1,0,1,84630952,apartment,90,140000,0,3,1,1,0,alicante,1,0,0,0
0,0,3,0,0,0,84795788,house,280,220000,0,3,1,0,1,alicante,0,1,0,0
0,0,1,0,0,0,39890208,house,150,90000,0,7,0,0,0,alicante,0,1,0,0
1,0,3,1,0,0,34932181,house,220,130000,0,4,1,0,1,alicante,0,1,0,0
0,0,1,0,0,0,84987124,house,124,22000,0,8,0,0,1,alicante,0,1,0,0
0,0,1,0,0,0,84987144,house,80,8000,0,6,0,0,1,alicante,0,1,0,0
0,1,2,0,0,0,85035545,apartment,117,130000,0,3,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84964269,rural_property,70000,450000,0,3,0,0,0,alicante,0,0,0,1
0,0,1,0,0,0,84984143,apartment,72,78000,0,1,1,0,1,alicante,1,0,0,0
0,0,2,0,0,0,84842422,apartment,1564,1316400,0,3,0,0,0,alicante,1,0,0,0
0,0,3,0,0,0,85036460,house,620,170000,0,7,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,83180897,house,2500,89500,0,2,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84505520,house,127,67052,0,3,0,0,0,alicante,0,1,0,0
0,1,1,0,0,0,34205021,apartment,90,54000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,36050566,apartment,80,120000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,40296729,house,234,90000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,40044613,house,83,50000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,39191716,house,146,55000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,38255832,rural_property,6632,70000,0,2,0,0,0,alicante,0,0,0,1
0,0,1,0,0,0,37103022,rural_property,950,60000,0,2,0,0,0,alicante,0,0,0,1
0,0,2,0,0,0,37722047,apartment,126,103000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,84093064,apartment,89,59500,0,2,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,84093067,apartment,82,61000,0,2,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,84093069,apartment,89,60000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,1,0,29457822,house,170,45000,0,3,1,0,0,alicante,0,1,0,0
0,0,1,0,0,0,29576588,house,158,70000,0,5,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,30524270,apartment,147,100000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,31709959,apartment,120,185000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,35022892,house,7740,120000,0,4,1,1,0,alicante,0,1,0,0
0,0,1,0,0,1,35022958,house,3800,179000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,1,0,1,35022960,house,2800,235000,0,3,0,1,0,alicante,0,1,0,0
0,0,3,0,0,1,35023008,house,600,168000,0,3,1,1,0,alicante,0,1,0,0
0,0,1,1,0,0,35823124,apartment,130,46000,0,4,1,0,1,alicante,1,0,0,0
0,1,1,0,0,0,35823128,apartment,80,45000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,38952223,apartment,142,85000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,82137552,apartment,123,52000,0,4,1,1,0,alicante,1,0,0,0
0,0,2,0,0,0,82568276,apartment,90,85000,0,3,1,0,1,alicante,1,0,0,0
0,0,1,0,0,0,82639719,apartment,101,52500,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,82771479,apartment,80,28000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,83268629,house,75000,190000,0,4,1,0,1,alicante,0,1,0,0
0,0,2,0,0,0,81650919,house,160,150000,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778616,house,932,185000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84778658,apartment,120,35000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,35919662,apartment,3459,55000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,36082830,apartment,5736,150000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778829,apartment,163,37000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778785,house,97,55000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84778790,apartment,112,85000,0,3,0,0,0,alicante,1,0,0,0
0,0,0,0,0,0,84778712,house,5157,50000,0,2,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84842873,apartment,190,85000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84903915,house,600,53000,0,1,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84903818,house,89,87350,0,3,0,0,0,alicante,0,1,0,0
0,0,3,0,0,0,84903221,apartment,100,130000,0,3,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84954165,apartment,134,28000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,1,0,0,29073244,rural_property,440,26000,0,5,0,0,0,alicante,0,0,0,1
